id,command,product_name,serving_size,nutrition
615824c3-500f-4bcc-9ce3-30e49672dc21,,Malabar Parota,60,
b35aedcb-b9e5-43e4-a8bd-4fbe1b340fb6,,Whole Wheat Parota,60,
f3675b00-7f3c-4222-b5c8-58576f22394b,,Wheat Chapathi,40,
68b1f314-d303-4429-bb42-d4c7cbbd9bec,,Malabar Parota,60,
031d0c4a-11ea-49ab-aae9-b7b7d05bd29e,,Kadapa Kaaram,5,"Calories 20.88kcal, Protein 0.7g, Total Fat 1.49g, Saturated Fat 0.75g, Carbs 1.51g, Fiber 0.64g, Sugars 0.31g, Sodium 0.08g"
ba2fe49f-75f1-4db0-b2d0-edd26d81cc62,,Nalla Kaaram,5,"Calories 14.95kcal, Protein 0.63g, Total Fat 0.4g, Saturated Fat 0.15g, Carbs 2.47g, Fiber 0.91g, Sugars 0.52g, Sodium 0.11g"
d40333db-fc45-4a73-9329-eb54ef6a85b5,,Avisaginjala Kaaram,5,"Calories 20.56kcal, Protein 0.84g, Total Fat 0.5g, Saturated Fat 0.13g, Carbs 2.09g, Fiber 1.06g, Sugars 0.18g, Sodium 0.1g"
285b7b12-59d1-47a0-afb2-986c6c72d045,,Palli Kaaram,5,"Calories 25.87kcal, Protein 1.24g, Total Fat 2.04g, Saturated Fat 0.36g, Carbs 1.02g, Fiber 0.64g, Sugars 0.2g, Sodium 0.07g"
6bb57327-d5c7-4a3f-b645-031fe220a609,,Velluli Kaaram,5,"Calories 21.5kcal, Protein 0.36g, Total Fat 1.73g, Saturated Fat 1.54g, Carbs 1.41g, Fiber 0.74g, Sugars 0.23g, Sodium 0.17g"
d4eb273f-08a8-4f6b-bfac-8c4dce9c5511,,Karivepaku Podi,5,"Calories 12.71kcal, Protein 0.81g, Total Fat 0.2g, Saturated Fat 0.05g, Carbs 2.39g, Fiber 1.33g, Sugars 0.23g, Sodium 0.13g"
0219fa3e-9afc-4048-aba2-e9daa0fba81e,,Palli Dhaniya Podi,5,"Calories 19.99kcal, Protein 0.87g, Total Fat 1.03g, Saturated Fat 0.16g, Carbs 2.23g, Fiber 0.69g, Sugars 0.85g, Sodium 0.13g"
2cf104b5-c88f-48a7-9e5e-741a20cc2c20,,Godhuma Kaaram,5,"Calories 16.96kcal, Protein 0.58g, Total Fat 0.3g, Saturated Fat 0.2g, Carbs 3.01g, Fiber 0.83g, Sugars 0.1g, Sodium 0.07g"
581f07ae-4d33-4fa1-8915-655e48c183c3,,Moringa Kaaram,5,"Calories 13.43kcal, Protein 0.85g, Total Fat 0.39g, Saturated Fat 0.06g, Carbs 1.85g, Fiber 0.62g, Sugars 0.09g, Sodium 0.22g"
3d01988a-ad7d-4114-908b-38098cd63bd3,,Pudina Kaaram,5,"Calories 11.21kcal, Protein 0.65g, Total Fat 0.22g, Saturated Fat 0.05g, Carbs 2.07g, Fiber 0.94g, Sugars 0.08g, Sodium 0.21g"
5fd5ad76-ce6b-4a27-b189-bd32180f3c7c,,Dosa Kaaram,5,"Calories 16.39kcal, Protein 0.69g, Total Fat 0.2g, Saturated Fat 0.02g, Carbs 3.21g, Fiber 0.84g, Sugars 0.17g, Sodium 0.05g"
5d7272ee-37e6-43c3-bb9d-551dc2d7da38,,Kandi Podi,5,"Calories 18kcal, Protein 0.9g, Total Fat 0.55g, Saturated Fat 0.31g, Carbs 2.53g, Fiber 0.6g, Sugars 0.45g, Sodium 0.06g"
38b67b7f-2441-4024-88f1-f3f0c0a29d00,,Idli Podi,5,"Calories 17.73kcal, Protein 1.06g, Total Fat 0.16g, Saturated Fat 0.02g, Carbs 3g, Fiber 1.05g, Sugars 0.33g, Sodium 0.03g"
079bee5b-7f2a-4c6c-80ea-e5191c27babe,,Pure Ghee,,
8feb890d-ff9a-459b-a3db-424bc6f80ccc,,Multigrain Atta,,
21685c21-498d-43b2-88ea-5a64964d64e8,,Sambar Premix,40,"Calories 127.92kcal, Protein 5.03g, Total Fat 3.08g, Saturated Fat 1.3g, Carbs 22.92g, Fiber 7.42g, Sugars 2.16g, Sodium 1.13g"
5aed9bb9-775d-4d2a-b4cd-8c39c0e7b887,,Premium Coffee,,
ab02aab0-ea5a-4585-86e5-1de447dc12df,,Pure Turmeric,,
81095baa-0101-4c50-8749-051c376d8fd8,,Chutney Premix,40,"Calories 172.38kcal, Protein 8.58g, Total Fat 11.38g, Saturated Fat 1.92g, Carbs 10.68g, Fiber 3.54g, Sugars 2.49g, Sodium 0.26g"
9b6b3df2-7a39-407f-b320-9d6f6e9b0db9,,MultiGrain Mix,40,"Calories 146.89kcal, Protein 7.23g, Total Fat 2.84g, Saturated Fat 0.42g, Carbs 23.55g, Fiber 4.57g, Sugars 0.89g, Sodium 0.04g"
