Category,Product Name (Podi),Speciality,100gms,250gms,500gms
Ready to Eat,Kadapa Kaaram,Bold flavor rich and hearty!,100,185,335
Ready to Eat,Nalla Kaaram,High fiber gut-friendly spice!,100,175,315
Ready to Eat,Godhuma Kaaram,Tasty Light & Fresh!,100,175,315
Ready to Eat,Velluli Kaaram,Sauté. Sprinkle. Savor Garlic.,100,175,335
Ready to Eat,Palli Kaaram,Palli Kaaram. Boldly Telugu!,90,175,315
Ready to Eat,Avisaginjala Kaaram,Healthy Bite Enriched with Ragi,90,175,315
Ready to Eat,Moringa Kaaram,Moringa Magic: Nutritious. Natural. Delicious!,100,185,335
Ready to Eat,Pudina Kaaram,Light Lively & Minty-Perfect!,100,185,335
Ready to Eat,Dosa Kaaram,Perfect Spice for Crispy Dosas!,90,175,315
Ready to Eat,Kandi Podi,Flavor-packed protein-rich!,100,175,315
Ready to Eat,Karivepaku Podi,Earthy. Spicy. Naturally Good!,100,185,335
Ready to Eat,Palli Dhaniya Podi,Rustic. Rich. Ridiculously Good.,100,175,315
Ready to Eat,Idli Podi,Idli's Best Friends: Ghee & Podi!,90,175,315
Ready to Eat,Sambar Premix,Authentic Sambar in a Snap,,175,315
Ready to Eat,Chutney Premix,Fresh Chutney in a Snap!,,175,315
Ready to Eat,MultiGrain Mix,Power of 13 Grains Strength in Every Bite!,,175,315
Ready to Cook,Malabar Parota (5 pcs),Authentic Kerala-style layered parota,85,,
Ready to Cook,Malabar Parota (10 pcs),Authentic Kerala-style layered parota,155,,
Ready to Cook,Wheat Chapathi (10 pcs),Soft wholesome wheat chapathi,85,,
Ready to Cook,Whole Wheat Parota (10 pcs),Whole wheat healthy parota,155,,
